episode,step,reward,ep_reward,delta,cwmins,avg_delay
10,4,0.007606666666668389,0.09244666666666863,-1,"7,7,7",2977.013333333333
11,0,1.0,1.0,0,"7,7,7",2457.233333333333
11,1,-1.0,0.0,0,"7,7,7",3131.5166666666664
11,2,0.41127999999999976,0.41127999999999976,0,"7,7,7",2925.8766666666666
11,3,-0.3171199999999999,0.09415999999999985,-1,"7,7,7",3084.4366666666665
11,4,-0.09942000000000098,-0.005260000000001125,1,"15,15,15",3134.146666666667
12,0,1.0,1.0,-1,"7,7,7",2277.66
12,1,-1.0,0.0,1,"15,15,15",3320.7533333333336
12,2,0.8842466666666678,0.8842466666666678,1,"31,31,31",2878.6299999999997
12,3,-0.7280733333333337,0.15617333333333416,1,"63,63,63",3242.6666666666665
12,4,0.6897733333333327,0.8459466666666668,0,"63,63,63",2897.78
13,0,-0.6948666666666659,-0.6948666666666659,-1,"31,31,31",3245.213333333333
13,1,-0.5773800000000001,-1.2722466666666659,0,"31,31,31",3533.903333333333
13,2,0.9883666666666668,-0.283879999999999,1,"63,63,63",3039.72
13,3,-0.17197333333333337,-0.4558533333333324,0,"63,63,63",3125.7066666666665
13,4,0.20109999999999856,-0.25475333333333383,-1,"31,31,31",3025.156666666667
14,0,-0.14987333333333117,-0.14987333333333117,-1,"15,15,15",3100.093333333333
14,1,0.13411333333333186,-0.015759999999999302,0,"15,15,15",3033.036666666667
14,2,0.7773733333333339,0.7616133333333346,0,"15,15,15",2644.35
14,3,-0.8135333333333338,-0.05191999999999919,-1,"7,7,7",3051.116666666667
14,4,0.42178666666666687,0.3698666666666677,-1,"7,7,7",2840.2233333333334
15,0,0.2326800000000003,0.2326800000000003,1,"15,15,15",2723.883333333333
15,1,0.3015999999999995,0.5342799999999998,0,"15,15,15",2573.0833333333335
15,2,-0.6379800000000004,-0.10370000000000068,0,"15,15,15",2892.0733333333337
15,3,0.07848000000000047,-0.025220000000000214,-1,"7,7,7",2852.8333333333335
15,4,-0.6290533333333332,-0.6542733333333335,0,"7,7,7",3167.36
16,0,0.30178666666666687,0.30178666666666687,-1,"7,7,7",3016.4666666666667
16,1,-0.07149333333333288,0.230293333333334,0,"7,7,7",3052.213333333333
16,2,1.0,1.230293333333334,1,"15,15,15",1937.026
16,3,-1.0,0.2302933333333339,-1,"7,7,7",2969.0033333333336
16,4,-0.5200333333333338,-0.2897399999999999,0,"7,7,7",3229.0200000000004
17,0,0.22728000000000156,0.22728000000000156,1,"15,15,15",3115.3799999999997
17,1,0.45921333333333314,0.6864933333333347,0,"15,15,15",2885.773333333333
17,2,-0.33459333333333413,0.3519000000000006,1,"31,31,31",3053.07
17,3,0.0421866666666665,0.3940866666666671,1,"63,63,63",3031.976666666667
17,4,0.3791399999999994,0.7732266666666665,-1,"31,31,31",2842.406666666667
18,0,-1.0,-1.0,0,"31,31,31",3390.89
18,1,1.0,0.0,-1,"15,15,15",2823.08
18,2,-0.1253000000000002,-0.1253000000000002,0,"15,15,15",2885.73
18,3,-0.34595333333333295,-0.47125333333333314,-1,"7,7,7",3058.7066666666665
18,4,-0.24678000000000067,-0.7180333333333337,0,"7,7,7",3182.096666666667
19,0,0.022073333333333722,0.022073333333333722,-1,"7,7,7",3171.06
19,1,0.1136800000000003,0.135753333333334,-1,"7,7,7",3114.22
19,2,0.22304666666666617,0.3588000000000002,0,"7,7,7",3002.6966666666667
19,3,0.42840666666666677,0.7872066666666669,1,"15,15,15",2788.4933333333333
19,4,-0.6118199999999997,0.17538666666666725,0,"15,15,15",3094.403333333333
20,0,0.38054,0.38054,1,"31,31,31",2904.133333333333
20,1,-0.5162733333333336,-0.1357333333333336,-1,"15,15,15",3162.27
20,2,-0.545126666666667,-0.6808600000000006,1,"31,31,31",3434.8333333333335
20,3,1.0,0.3191399999999994,-1,"15,15,15",2855.103333333333
20,4,0.2511999999999989,0.5703399999999983,-1,"7,7,7",2729.5033333333336
21,0,1.0,1.0,0,"7,7,7",2112.051
21,1,-1.0,0.0,-1,"7,7,7",2830.463333333333
21,2,-0.702126666666667,-0.702126666666667,1,"15,15,15",3181.5266666666666
21,3,0.7814199999999991,0.0792933333333321,0,"15,15,15",2790.816666666667
21,4,-0.6042666666666664,-0.5249733333333343,0,"15,15,15",3092.9500000000003
22,0,0.15015333333333455,0.15015333333333455,-1,"7,7,7",3017.873333333333
22,1,-0.06926000000000113,0.08089333333333343,0,"7,7,7",3052.5033333333336
22,2,0.5453333333333339,0.6262266666666674,0,"7,7,7",2779.8366666666666
22,3,-0.7073266666666668,-0.0810999999999994,-1,"7,7,7",3133.5
22,4,-0.07046000000000004,-0.15155999999999942,0,"7,7,7",3168.73
23,0,0.24485333333333348,0.24485333333333348,0,"7,7,7",3046.3033333333333
23,1,0.11268666666666559,0.3575399999999991,0,"7,7,7",2989.9600000000005
23,2,-0.20555333333333328,0.1519866666666658,0,"7,7,7",3092.736666666667
23,3,0.30954666666666797,0.4615333333333338,0,"7,7,7",2937.963333333333
23,4,-0.620746666666666,-0.1592133333333322,-1,"7,7,7",3248.336666666666
24,0,1.0,1.0,-1,"7,7,7",2147.4383333333335
24,1,-0.8262766666666667,0.17372333333333334,0,"7,7,7",2560.576666666667
24,2,-0.25867999999999935,-0.08495666666666601,-1,"7,7,7",2689.9166666666665
24,3,-0.9368066666666663,-1.0217633333333325,0,"7,7,7",3158.3199999999997
24,4,0.5707799999999988,-0.4509833333333336,-1,"7,7,7",2872.9300000000003
25,0,-0.19131333333333259,-0.19131333333333259,0,"7,7,7",2968.5866666666666
25,1,-0.6304733333333342,-0.8217866666666668,0,"7,7,7",3283.8233333333337
25,2,1.0,0.17821333333333322,-1,"7,7,7",2467.84
25,3,-0.9837066666666661,-0.8054933333333328,-1,"7,7,7",2959.693333333333
25,4,0.6894266666666663,-0.11606666666666654,-1,"7,7,7",2614.98
26,0,-0.8967600000000002,-0.8967600000000002,1,"15,15,15",3063.36
26,1,-0.38683333333333303,-1.2835933333333331,-1,"7,7,7",3256.7766666666666
26,2,1.0,-0.28359333333333314,1,"15,15,15",2208.2466666666664
26,3,-1.0,-1.2835933333333331,0,"15,15,15",3164.523333333333
26,4,-0.3148600000000006,-1.5984533333333337,1,"31,31,31",3321.9533333333334
27,0,1.0,1.0,1,"63,63,63",2721.07
27,1,-1.0,0.0,1,"127,127,127",3269.0766666666664
27,2,1.0,1.0,-1,"63,63,63",2632.24
27,3,-1.0,0.0,0,"63,63,63",3147.2566666666667
27,4,0.16079333333333307,0.16079333333333307,0,"63,63,63",3066.86
28,0,0.1042533333333331,0.1042533333333331,0,"63,63,63",3014.7333333333336
28,1,1.0,1.104253333333333,-1,"31,31,31",2318.206666666667
28,2,-1.0,0.10425333333333309,-1,"15,15,15",3234.9
28,3,0.41392666666666716,0.5181800000000003,0,"15,15,15",3027.9366666666665
28,4,0.02165333333333274,0.539833333333333,1,"31,31,31",3017.11
29,0,-0.20211333333333278,-0.20211333333333278,1,"63,63,63",3118.1666666666665
29,1,0.5552266666666664,0.3531133333333336,-1,"31,31,31",2840.5533333333333
29,2,-0.9523066666666664,-0.5991933333333328,-1,"15,15,15",3316.7066666666665
29,3,1.0,0.4008066666666672,0,"15,15,15",1883.2476666666669
29,4,-1.0,-0.5991933333333328,0,"15,15,15",2892.5
30,0,-0.15260666666666656,-0.15260666666666656,1,"31,31,31",2968.8033333333333
30,1,0.2627400000000007,0.11013333333333414,1,"63,63,63",2837.433333333333
30,2,-0.6380866666666679,-0.5279533333333337,-1,"31,31,31",3156.476666666667
30,3,0.2635,-0.2644533333333337,-1,"15,15,15",3024.726666666667
30,4,-0.07861333333333277,-0.34306666666666646,0,"15,15,15",3064.0333333333333
31,0,-0.24460000000000037,-0.24460000000000037,0,"15,15,15",3186.3333333333335
31,1,1.0,0.7553999999999996,0,"15,15,15",2666.1200000000003
31,2,-1.0,-0.24460000000000037,0,"15,15,15",3431.066666666667
31,3,0.7033866666666682,0.4587866666666678,1,"31,31,31",3079.373333333333
31,4,-0.548253333333334,-0.08946666666666625,0,"31,31,31",3353.5
32,0,1.0,1.0,-1,"15,15,15",2778.096666666667
32,1,1.0,2.0,-1,"7,7,7",2194.6666666666665
32,2,-1.0,1.0,1,"15,15,15",3226.26
32,3,0.8523066666666673,1.8523066666666672,0,"15,15,15",2800.1066666666666
32,4,-0.5621533333333327,1.2901533333333344,-1,"7,7,7",3081.183333333333
33,0,-0.30178666666666687,-0.30178666666666687,0,"7,7,7",3232.0766666666664
33,1,0.7530133333333333,0.45122666666666644,1,"15,15,15",2855.5699999999997
33,2,-0.5230333333333338,-0.07180666666666735,-1,"7,7,7",3117.0866666666666
33,3,-0.6236933333333327,-0.6955,-1,"7,7,7",3428.933333333333
33,4,0.5050733333333337,-0.1904266666666663,-1,"7,7,7",3176.396666666666
34,0,0.32363333333333233,0.32363333333333233,0,"7,7,7",3014.58
34,1,-0.9272466666666669,-0.6036133333333346,1,"15,15,15",3478.2033333333334
34,2,0.5175666666666666,-0.08604666666666794,0,"15,15,15",3219.42
34,3,-0.3239000000000005,-0.40994666666666846,-1,"7,7,7",3381.3700000000003
34,4,0.9754733333333343,0.5655266666666658,-1,"7,7,7",2893.633333333333
35,0,-0.6104066666666668,-0.6104066666666668,0,"7,7,7",3198.8366666666666
35,1,0.05401333333333332,-0.5563933333333334,-1,"7,7,7",3171.83
35,2,0.052786666666666864,-0.5036066666666665,0,"7,7,7",3145.4366666666665
35,3,0.03910666666666657,-0.46449999999999997,1,"15,15,15",3125.883333333333
35,4,0.0394399999999996,-0.4250600000000004,-1,"7,7,7",3106.1633333333334
36,0,-0.06432666666666592,-0.06432666666666592,0,"7,7,7",3138.3266666666664
36,1,0.5857666666666664,0.5214400000000006,-1,"7,7,7",2845.443333333333
36,2,-0.29407333333333374,0.22736666666666683,1,"15,15,15",2992.48
36,3,0.18495333333333291,0.41231999999999974,0,"15,15,15",2900.0033333333336
36,4,0.2178666666666677,0.6301866666666674,0,"15,15,15",2791.0699999999997
37,0,-0.8006199999999999,-0.8006199999999999,1,"31,31,31",3191.3799999999997
37,1,0.38623333333333176,-0.4143866666666681,0,"31,31,31",2998.263333333334
37,2,0.49028666666666687,0.07589999999999875,-1,"15,15,15",2753.1200000000003
37,3,1.0,1.0758999999999987,1,"31,31,31",2008.8836666666666
37,4,-1.0,0.07589999999999875,0,"31,31,31",3229.1366666666668
38,0,1.0,1.0,-1,"15,15,15",2692.3366666666666
38,1,-1.0,0.0,1,"31,31,31",3360.5
38,2,0.5032333333333335,0.5032333333333335,-1,"15,15,15",3108.883333333333
38,3,0.0035133333333324116,0.5067466666666659,-1,"7,7,7",3107.126666666667
38,4,1.0,1.506746666666666,0,"7,7,7",2212.03
39,0,-1.0,-1.0,-1,"7,7,7",3154.533333333333
39,1,-0.05670000000000073,-1.0567000000000006,-1,"7,7,7",3182.883333333333
39,2,0.4533800000000001,-0.6033200000000005,0,"7,7,7",2956.193333333333
39,3,-0.4918933333333334,-1.095213333333334,0,"7,7,7",3202.14
39,4,0.5056866666666665,-0.5895266666666675,1,"15,15,15",2949.2966666666666
40,0,0.1874466666666667,0.1874466666666667,-1,"7,7,7",2855.5733333333333
40,1,-0.5555533333333332,-0.3681066666666665,0,"7,7,7",3133.35
40,2,-0.13042000000000006,-0.49852666666666656,-1,"7,7,7",3198.56
40,3,1.0,0.5014733333333334,-1,"7,7,7",2400.0499999999997
40,4,-0.861713333333335,-0.36024000000000156,1,"15,15,15",2830.906666666667
